,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label_col
0,0,43.67,0.47,24.75,0.43,30.0,0.0,bending
1,250,43.33,0.47,25.33,0.47,30.0,0.0,bending
2,500,42.75,0.83,25.25,0.83,30.5,0.5,bending
3,750,41.75,0.43,20.5,3.35,30.75,0.83,bending
4,1000,42.5,0.5,20.75,4.55,31.75,0.43,bending
5,1250,43.5,0.5,24.0,0.0,32.0,0.0,bending
6,1500,42.75,0.43,22.67,1.25,32.0,0.0,bending
7,1750,43.67,0.47,13.0,4.64,30.0,0.0,bending
8,2000,43.5,0.5,20.0,1.22,30.0,0.0,bending
9,2250,43.67,0.47,15.67,0.47,31.25,1.09,bending
10,2500,43.75,0.43,19.0,2.0,32.75,0.43,bending
11,2750,44.0,0.71,15.75,2.59,32.5,0.5,bending
12,3000,44.0,0.71,13.33,0.94,33.0,0.0,bending
13,3250,43.67,0.47,12.0,0.82,33.0,0.0,bending
14,3500,43.5,0.5,8.25,3.27,32.5,0.5,bending
15,3750,43.5,0.5,7.0,0.82,32.67,0.47,bending
16,4000,43.67,0.47,11.25,1.92,32.0,0.0,bending
17,4250,43.5,0.5,15.5,5.5,32.25,0.43,bending
18,4500,43.33,0.47,18.67,2.87,32.25,0.43,bending
19,4750,43.5,0.5,19.75,2.86,33.5,1.5,bending
20,5000,44.25,0.83,22.75,0.83,33.0,0.0,bending
21,5250,43.75,0.43,17.25,4.15,32.5,0.5,bending
22,5500,43.5,0.5,14.75,0.43,32.0,0.0,bending
23,5750,43.5,0.5,15.0,1.41,32.25,0.43,bending
24,6000,43.5,0.5,14.75,1.09,32.5,0.5,bending
25,6250,43.5,0.5,20.5,3.57,33.5,1.5,bending
26,6500,43.75,0.43,24.0,0.0,33.0,0.0,bending
27,6750,43.67,0.47,24.0,0.0,33.0,0.0,bending
28,7000,43.5,0.5,24.0,0.0,33.0,0.0,bending
29,7250,43.75,0.43,23.75,0.43,33.0,0.0,bending
30,7500,43.33,0.47,24.0,0.0,33.0,0.0,bending
31,7750,43.33,0.47,22.33,0.47,33.0,0.0,bending
32,8000,43.5,0.5,23.0,1.73,32.5,0.5,bending
33,8250,43.5,0.5,19.5,2.6,32.25,0.43,bending
34,8500,43.5,0.5,18.0,1.22,32.25,0.43,bending
35,8750,43.5,0.5,20.25,0.83,33.0,0.0,bending
