,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label_col
0,0,41.25,1.3,24.0,0.0,32.33,0.94,bending
1,250,41.0,1.0,22.5,1.12,33.5,0.87,bending
2,500,44.25,0.83,21.75,0.83,31.5,1.5,bending
3,750,45.0,0.0,20.0,1.22,30.0,0.0,bending
4,1000,45.25,0.43,15.25,2.86,30.5,0.5,bending
5,1250,45.33,0.47,11.5,0.5,30.0,0.0,bending
6,1500,46.75,0.43,13.0,0.82,30.0,0.0,bending
7,1750,46.33,0.47,12.33,0.47,30.0,0.0,bending
8,2000,45.5,0.5,12.33,0.47,29.67,0.47,bending
9,2250,45.0,0.0,14.5,1.12,30.0,0.0,bending
10,2500,45.0,0.0,18.0,0.71,27.25,1.79,bending
11,2750,45.0,0.0,16.33,1.25,26.0,0.71,bending
12,3000,45.0,0.0,17.75,0.43,25.0,1.22,bending
13,3250,45.0,0.0,15.75,1.92,25.75,1.3,bending
14,3500,45.0,0.0,13.25,0.43,27.0,0.0,bending
15,3750,45.0,0.0,14.25,0.43,27.0,0.0,bending
16,4000,45.0,0.0,17.0,1.58,26.25,0.83,bending
17,4250,45.0,0.0,18.75,1.09,25.25,0.83,bending
18,4500,45.0,0.0,15.5,0.5,23.5,0.5,bending
19,4750,45.0,0.0,16.5,0.5,24.5,0.87,bending
20,5000,44.5,0.5,16.0,1.22,21.75,0.43,bending
21,5250,45.0,0.0,18.75,0.83,21.5,0.5,bending
22,5500,44.5,0.5,20.75,0.43,21.25,0.43,bending
23,5750,44.5,0.5,18.5,0.87,21.0,0.0,bending
24,6000,44.5,0.5,20.75,0.43,21.5,0.87,bending
25,6250,44.5,0.5,21.0,0.0,23.25,0.43,bending
26,6500,45.0,0.0,20.75,0.43,23.25,0.83,bending
27,6750,45.0,0.0,22.0,0.71,24.0,0.0,bending
28,7000,45.0,0.0,23.0,0.82,23.67,0.47,bending
29,7250,45.0,0.0,19.5,3.35,23.5,3.04,bending
30,7500,45.0,0.0,15.5,2.5,27.75,0.43,bending
31,7750,45.0,0.0,19.0,0.71,24.0,0.0,bending
32,8000,45.0,0.0,19.0,2.12,23.67,0.47,bending
33,8250,45.0,0.0,21.75,0.43,24.33,0.47,bending
34,8500,45.0,0.0,19.0,2.0,24.5,0.5,bending
35,8750,45.0,0.0,18.75,0.43,28.25,0.83,bending
36,9000,45.0,0.0,17.5,1.66,26.75,1.79,bending
37,9250,45.0,0.0,7.75,4.32,25.75,1.79,bending
38,9500,45.0,0.0,9.33,2.62,28.25,0.83,bending
39,9750,45.0,0.0,18.5,0.87,25.75,1.09,bending
40,10000,45.0,0.0,18.75,0.43,25.25,1.3,bending
41,10250,45.0,0.0,20.0,0.82,21.33,0.47,bending
42,10500,45.0,0.0,20.67,0.47,22.0,1.0,bending
43,10750,45.0,0.0,20.0,0.71,23.5,0.87,bending
44,11000,45.0,0.0,18.33,0.47,25.0,0.82,bending
45,11250,45.0,0.0,19.2,0.4,25.0,1.1,bending
46,11500,45.0,0.0,19.67,0.94,23.33,0.47,bending
47,11750,45.0,0.0,21.0,0.0,23.75,0.43,bending
48,12000,45.0,0.0,19.5,1.12,24.33,0.47,bending
49,12250,45.0,0.0,14.33,1.25,24.5,0.5,bending
50,12500,45.0,0.0,13.0,0.71,22.0,1.22,bending
51,12750,45.0,0.0,15.25,0.83,19.5,0.87,bending
52,13000,45.0,0.0,17.75,0.43,22.0,0.71,bending
53,13250,45.0,0.0,17.75,0.43,23.5,0.87,bending
54,13500,45.0,0.0,18.25,0.43,22.75,0.43,bending
55,13750,45.0,0.0,19.5,0.5,21.0,2.24,bending
56,14000,45.0,0.0,20.5,0.5,23.75,0.43,bending
57,14250,45.0,0.0,20.0,0.0,24.0,0.0,bending
58,14500,45.0,0.0,19.25,1.3,23.75,0.43,bending
59,14750,45.0,0.0,20.0,1.0,23.67,0.47,bending
60,15000,45.0,0.0,20.75,0.43,24.0,0.0,bending
61,15250,45.0,0.0,20.0,1.22,23.75,0.43,bending
62,15500,45.0,0.0,16.0,2.16,22.75,1.3,bending
63,15750,45.0,0.0,14.5,0.5,21.25,0.43,bending
64,16000,45.25,0.43,16.0,2.12,22.0,1.22,bending
65,16250,45.25,0.43,17.5,1.66,23.75,0.43,bending
66,16500,45.0,0.0,15.0,0.71,23.5,1.5,bending
67,16750,45.25,0.43,15.0,0.71,23.75,0.43,bending
68,17000,45.0,0.0,13.33,1.89,23.67,0.47,bending
69,17250,45.0,0.0,15.5,1.66,25.5,1.12,bending
70,17500,45.0,0.0,15.0,0.71,24.25,0.43,bending
71,17750,45.0,0.0,17.25,2.86,24.0,1.63,bending
72,18000,45.0,0.0,18.75,2.49,25.5,1.12,bending
73,18250,45.0,0.0,20.25,1.3,24.75,0.83,bending
74,18500,45.0,0.0,20.33,0.47,23.0,0.71,bending
75,18750,45.0,0.0,20.5,0.5,24.0,2.12,bending
76,19000,45.0,0.0,19.5,0.87,27.25,0.43,bending
77,19250,45.0,0.0,17.5,1.8,24.0,1.87,bending
78,19500,45.0,0.0,20.25,0.83,21.75,0.83,bending
79,19750,45.0,0.0,18.0,0.71,23.5,0.87,bending
80,20000,45.0,0.0,18.75,0.43,24.5,0.5,bending
81,20250,45.0,0.0,18.33,0.47,23.67,0.47,bending
82,20500,45.0,0.0,20.25,0.43,21.0,0.0,bending
83,20750,45.0,0.0,18.75,0.83,22.0,1.41,bending
84,21000,45.0,0.0,17.0,0.0,24.0,0.0,bending
85,21250,45.0,0.0,18.0,0.0,24.0,0.0,bending
86,21500,45.0,0.0,18.25,0.43,23.5,0.5,bending
87,21750,45.0,0.0,18.0,0.0,24.0,0.0,bending
88,22000,45.0,0.0,18.0,0.0,24.0,0.0,bending
89,22250,45.0,0.0,17.0,0.82,23.67,0.47,bending
90,22500,45.0,0.0,16.33,0.47,24.33,0.47,bending
91,22750,45.0,0.0,16.75,0.43,23.75,0.43,bending
92,23000,45.0,0.0,18.75,0.83,24.0,0.0,bending
93,23250,45.0,0.0,18.5,0.5,23.75,0.43,bending
94,23500,45.0,0.0,16.5,0.5,23.33,0.47,bending
95,23750,45.0,0.0,20.0,1.22,25.25,1.3,bending
96,24000,45.0,0.0,15.67,2.62,26.5,0.87,bending
